MatIndex	X (m)	Y (m)	Z (m)
10	3.5	3.5	0.5
10	7.5	3.5	0.5
10	3.5	6.5	0.5
10	7.5	6.5	0.5
5	2.5	3.5	1.5
10	3.5	3.5	1.5
6	4.5	3.5	1.5
7	6.5	3.5	1.5
10	7.5	3.5	1.5
8	8.5	3.5	1.5
1	2.5	6.5	1.5
10	3.5	6.5	1.5
2	4.5	6.5	1.5
3	6.5	6.5	1.5
10	7.5	6.5	1.5
4	8.5	6.5	1.5
9	2.5	3.5	2.5
9	3.5	3.5	2.5
9	4.5	3.5	2.5
9	5.5	3.5	2.5
9	6.5	3.5	2.5
9	7.5	3.5	2.5
9	8.5	3.5	2.5
9	2.5	4.5	2.5
9	3.5	4.5	2.5
9	4.5	4.5	2.5
9	5.5	4.5	2.5
9	6.5	4.5	2.5
9	7.5	4.5	2.5
9	8.5	4.5	2.5
9	2.5	5.5	2.5
9	3.5	5.5	2.5
9	4.5	5.5	2.5
9	5.5	5.5	2.5
9	6.5	5.5	2.5
9	7.5	5.5	2.5
9	8.5	5.5	2.5
9	2.5	6.5	2.5
9	3.5	6.5	2.5
9	4.5	6.5	2.5
9	5.5	6.5	2.5
9	6.5	6.5	2.5
9	7.5	6.5	2.5
9	8.5	6.5	2.5
