MatIndex	X (m)	Y (m)	Z (m)
9	3.5	2.5	0.5
9	4.5	2.5	0.5
9	7.5	2.5	0.5
9	8.5	2.5	0.5
9	3.5	3.5	0.5
9	4.5	3.5	0.5
9	7.5	3.5	0.5
9	8.5	3.5	0.5
9	3.5	5.5	0.5
9	4.5	5.5	0.5
9	7.5	5.5	0.5
9	8.5	5.5	0.5
9	3.5	6.5	0.5
9	4.5	6.5	0.5
9	7.5	6.5	0.5
9	8.5	6.5	0.5
6	3.5	2.5	1.5
5	4.5	2.5	1.5
8	7.5	2.5	1.5
7	8.5	2.5	1.5
6	3.5	3.5	1.5
5	4.5	3.5	1.5
8	7.5	3.5	1.5
7	8.5	3.5	1.5
2	3.5	5.5	1.5
1	4.5	5.5	1.5
4	7.5	5.5	1.5
3	8.5	5.5	1.5
2	3.5	6.5	1.5
1	4.5	6.5	1.5
4	7.5	6.5	1.5
3	8.5	6.5	1.5
6	3.5	2.5	2.5
5	4.5	2.5	2.5
8	7.5	2.5	2.5
7	8.5	2.5	2.5
6	3.5	3.5	2.5
5	4.5	3.5	2.5
8	7.5	3.5	2.5
7	8.5	3.5	2.5
2	3.5	5.5	2.5
1	4.5	5.5	2.5
4	7.5	5.5	2.5
3	8.5	5.5	2.5
2	3.5	6.5	2.5
1	4.5	6.5	2.5
4	7.5	6.5	2.5
3	8.5	6.5	2.5
9	3.5	2.5	3.5
9	4.5	2.5	3.5
9	5.5	2.5	3.5
9	6.5	2.5	3.5
9	7.5	2.5	3.5
9	8.5	2.5	3.5
9	3.5	3.5	3.5
9	4.5	3.5	3.5
9	5.5	3.5	3.5
9	6.5	3.5	3.5
9	7.5	3.5	3.5
9	8.5	3.5	3.5
9	3.5	4.5	3.5
9	4.5	4.5	3.5
9	5.5	4.5	3.5
9	6.5	4.5	3.5
9	7.5	4.5	3.5
9	8.5	4.5	3.5
9	3.5	5.5	3.5
9	4.5	5.5	3.5
9	5.5	5.5	3.5
9	6.5	5.5	3.5
9	7.5	5.5	3.5
9	8.5	5.5	3.5
9	3.5	6.5	3.5
9	4.5	6.5	3.5
9	5.5	6.5	3.5
9	6.5	6.5	3.5
9	7.5	6.5	3.5
9	8.5	6.5	3.5
9	3.5	2.5	4.5
9	4.5	2.5	4.5
9	5.5	2.5	4.5
9	6.5	2.5	4.5
9	7.5	2.5	4.5
9	8.5	2.5	4.5
9	3.5	3.5	4.5
9	4.5	3.5	4.5
9	5.5	3.5	4.5
9	6.5	3.5	4.5
9	7.5	3.5	4.5
9	8.5	3.5	4.5
9	3.5	4.5	4.5
9	4.5	4.5	4.5
9	5.5	4.5	4.5
9	6.5	4.5	4.5
9	7.5	4.5	4.5
9	8.5	4.5	4.5
9	3.5	5.5	4.5
9	4.5	5.5	4.5
9	5.5	5.5	4.5
9	6.5	5.5	4.5
9	7.5	5.5	4.5
9	8.5	5.5	4.5
9	3.5	6.5	4.5
9	4.5	6.5	4.5
9	5.5	6.5	4.5
9	6.5	6.5	4.5
9	7.5	6.5	4.5
9	8.5	6.5	4.5
