MatIndex	X (m)	Y (m)	Z (m)
9	2.5	3.5	0.5
9	3.5	3.5	0.5
9	6.5	3.5	0.5
9	7.5	3.5	0.5
9	2.5	4.5	0.5
9	3.5	4.5	0.5
9	6.5	4.5	0.5
9	7.5	4.5	0.5
9	2.5	6.5	0.5
9	3.5	6.5	0.5
9	6.5	6.5	0.5
9	7.5	6.5	0.5
9	2.5	7.5	0.5
9	3.5	7.5	0.5
9	6.5	7.5	0.5
9	7.5	7.5	0.5
9	2.5	3.5	1.5
3	3.5	3.5	1.5
9	6.5	3.5	1.5
4	7.5	3.5	1.5
9	2.5	4.5	1.5
3	3.5	4.5	1.5
9	6.5	4.5	1.5
4	7.5	4.5	1.5
9	2.5	6.5	1.5
1	3.5	6.5	1.5
9	6.5	6.5	1.5
2	7.5	6.5	1.5
9	2.5	7.5	1.5
1	3.5	7.5	1.5
9	6.5	7.5	1.5
2	7.5	7.5	1.5
7	2.5	3.5	2.5
9	3.5	3.5	2.5
8	6.5	3.5	2.5
9	7.5	3.5	2.5
7	2.5	4.5	2.5
9	3.5	4.5	2.5
8	6.5	4.5	2.5
9	7.5	4.5	2.5
5	2.5	6.5	2.5
9	3.5	6.5	2.5
6	6.5	6.5	2.5
9	7.5	6.5	2.5
5	2.5	7.5	2.5
9	3.5	7.5	2.5
6	6.5	7.5	2.5
9	7.5	7.5	2.5
10	2.5	3.5	3.5
10	3.5	3.5	3.5
10	4.5	3.5	3.5
10	5.5	3.5	3.5
10	6.5	3.5	3.5
10	7.5	3.5	3.5
10	2.5	4.5	3.5
10	3.5	4.5	3.5
10	4.5	4.5	3.5
10	5.5	4.5	3.5
10	6.5	4.5	3.5
10	7.5	4.5	3.5
10	2.5	5.5	3.5
10	3.5	5.5	3.5
10	4.5	5.5	3.5
10	5.5	5.5	3.5
10	6.5	5.5	3.5
10	7.5	5.5	3.5
10	2.5	6.5	3.5
10	3.5	6.5	3.5
10	4.5	6.5	3.5
10	5.5	6.5	3.5
10	6.5	6.5	3.5
10	7.5	6.5	3.5
10	2.5	7.5	3.5
10	3.5	7.5	3.5
10	4.5	7.5	3.5
10	5.5	7.5	3.5
10	6.5	7.5	3.5
10	7.5	7.5	3.5
