MatIndex	X (m)	Y (m)	Z (m)
1	4.5	3.5	0.5
1	5.5	3.5	0.5
1	4.5	4.5	0.5
1	5.5	4.5	0.5
1	4.5	5.5	0.5
1	5.5	5.5	0.5
1	4.5	6.5	0.5
1	5.5	6.5	0.5
2	3.5	3.5	1.5
9	4.5	3.5	1.5
9	5.5	3.5	1.5
3	6.5	3.5	1.5
2	3.5	4.5	1.5
9	4.5	4.5	1.5
9	5.5	4.5	1.5
3	6.5	4.5	1.5
2	3.5	5.5	1.5
9	4.5	5.5	1.5
9	5.5	5.5	1.5
3	6.5	5.5	1.5
2	3.5	6.5	1.5
9	4.5	6.5	1.5
9	5.5	6.5	1.5
3	6.5	6.5	1.5
4	2.5	3.5	2.5
9	3.5	3.5	2.5
9	4.5	3.5	2.5
9	5.5	3.5	2.5
9	6.5	3.5	2.5
5	7.5	3.5	2.5
4	2.5	4.5	2.5
9	3.5	4.5	2.5
9	4.5	4.5	2.5
9	5.5	4.5	2.5
9	6.5	4.5	2.5
5	7.5	4.5	2.5
4	2.5	5.5	2.5
9	3.5	5.5	2.5
9	4.5	5.5	2.5
9	5.5	5.5	2.5
9	6.5	5.5	2.5
5	7.5	5.5	2.5
4	2.5	6.5	2.5
9	3.5	6.5	2.5
9	4.5	6.5	2.5
9	5.5	6.5	2.5
9	6.5	6.5	2.5
5	7.5	6.5	2.5
4	2.5	3.5	3.5
9	3.5	3.5	3.5
9	4.5	3.5	3.5
9	5.5	3.5	3.5
9	6.5	3.5	3.5
5	7.5	3.5	3.5
4	2.5	4.5	3.5
9	3.5	4.5	3.5
9	4.5	4.5	3.5
9	5.5	4.5	3.5
9	6.5	4.5	3.5
5	7.5	4.5	3.5
4	2.5	5.5	3.5
9	3.5	5.5	3.5
9	4.5	5.5	3.5
9	5.5	5.5	3.5
9	6.5	5.5	3.5
5	7.5	5.5	3.5
4	2.5	6.5	3.5
9	3.5	6.5	3.5
9	4.5	6.5	3.5
9	5.5	6.5	3.5
9	6.5	6.5	3.5
5	7.5	6.5	3.5
6	3.5	3.5	4.5
9	4.5	3.5	4.5
9	5.5	3.5	4.5
7	6.5	3.5	4.5
6	3.5	4.5	4.5
9	4.5	4.5	4.5
9	5.5	4.5	4.5
7	6.5	4.5	4.5
6	3.5	5.5	4.5
9	4.5	5.5	4.5
9	5.5	5.5	4.5
7	6.5	5.5	4.5
6	3.5	6.5	4.5
9	4.5	6.5	4.5
9	5.5	6.5	4.5
7	6.5	6.5	4.5
8	4.5	3.5	5.5
8	5.5	3.5	5.5
8	4.5	4.5	5.5
8	5.5	4.5	5.5
8	4.5	5.5	5.5
8	5.5	5.5	5.5
8	4.5	6.5	5.5
8	5.5	6.5	5.5
