MatIndex	X (m)	Y (m)	Z (m)
1	0.500001	0.500001	0.5
1	1.5	0.500001	0.5
1	2.5	0.500001	0.5
1	0.500001	1.5	0.5
1	1.5	1.5	0.5
1	2.5	1.5	0.5
1	0.500001	2.5	0.5
1	1.5	2.5	0.5
1	2.5	2.5	0.5
1	0.500001	3.5	0.5
1	1.5	3.5	0.5
1	2.5	3.5	0.5
1	0.500001	4.5	0.5
1	1.5	4.5	0.5
1	0.500001	5.5	0.5
1	1.5	5.5	0.5
1	0.500001	0.500001	1.5
1	0.500001	1.5	1.5
1	0.500001	2.5	1.5
1	0.500001	3.5	1.5
1	0.500001	4.5	1.5
1	0.500001	0.500001	2.5
1	0.500001	1.5	2.5
1	0.500001	2.5	2.5
1	0.500001	3.5	2.5
1	0.500001	0.500001	3.5
1	0.500001	1.5	3.5
1	0.500001	2.5	3.5
1	0.500001	0.500001	4.5
1	0.500001	1.5	4.5
1	0.500001	0.500001	5.5
