MatIndex	X (m)	Y (m)	Z (m)
2	0.500001	4.5	0.5
2	1.5	4.5	0.5
2	2.5	4.5	0.5
2	3.5	4.5	0.5
2	4.5	4.5	0.5
2	5.5	4.5	0.5
2	6.5	4.5	0.5
2	7.5	4.5	0.5
2	8.5	4.5	0.5
2	9.5	4.5	0.5
5	0.500001	5.5	0.5
5	1.5	5.5	0.5
5	2.5	5.5	0.5
5	3.5	5.5	0.5
5	4.5	5.5	0.5
5	5.5	5.5	0.5
5	6.5	5.5	0.5
5	7.5	5.5	0.5
5	8.5	5.5	0.5
5	9.5	5.5	0.5
1	0.500001	6.5	0.5
1	1.5	6.5	0.5
1	2.5	6.5	0.5
1	3.5	6.5	0.5
1	4.5	6.5	0.5
1	5.5	6.5	0.5
1	6.5	6.5	0.5
1	7.5	6.5	0.5
1	8.5	6.5	0.5
1	9.5	6.5	0.5
4	0.500001	4.5	1.5
4	1.5	4.5	1.5
4	2.5	4.5	1.5
4	3.5	4.5	1.5
4	4.5	4.5	1.5
4	5.5	4.5	1.5
4	6.5	4.5	1.5
4	7.5	4.5	1.5
4	8.5	4.5	1.5
4	9.5	4.5	1.5
5	0.500001	5.5	1.5
5	1.5	5.5	1.5
5	2.5	5.5	1.5
5	3.5	5.5	1.5
5	4.5	5.5	1.5
5	5.5	5.5	1.5
5	6.5	5.5	1.5
5	7.5	5.5	1.5
5	8.5	5.5	1.5
5	9.5	5.5	1.5
3	0.500001	6.5	1.5
3	1.5	6.5	1.5
3	2.5	6.5	1.5
3	3.5	6.5	1.5
3	4.5	6.5	1.5
3	5.5	6.5	1.5
3	6.5	6.5	1.5
3	7.5	6.5	1.5
3	8.5	6.5	1.5
3	9.5	6.5	1.5
