MatIndex	X (m)	Y (m)	Z (m)
5	2.495	1.497	0.499
5	5.489	1.497	0.499
5	2.495	4.491	0.499
5	5.489	4.491	0.499
5	2.495	1.497	1.497
5	5.489	1.497	1.497
5	2.495	4.491	1.497
5	5.489	4.491	1.497
5	2.495	1.497	2.495
2	3.493	1.497	2.495
5	5.489	1.497	2.495
1	6.487	1.497	2.495
5	2.495	4.491	2.495
3	3.493	4.491	2.495
5	5.489	4.491	2.495
4	6.487	4.491	2.495
5	2.495	1.497	3.493
5	3.493	1.497	3.493
5	4.491	1.497	3.493
5	5.489	1.497	3.493
5	6.487	1.497	3.493
5	2.495	2.495	3.493
5	3.493	2.495	3.493
5	4.491	2.495	3.493
5	5.489	2.495	3.493
5	6.487	2.495	3.493
5	2.495	3.493	3.493
5	3.493	3.493	3.493
5	4.491	3.493	3.493
5	5.489	3.493	3.493
5	6.487	3.493	3.493
5	2.495	4.491	3.493
5	3.493	4.491	3.493
5	4.491	4.491	3.493
5	5.489	4.491	3.493
5	6.487	4.491	3.493
