MatIndex	X (m)	Y (m)	Z (m)
5	1.5	4.5	0.5
2	2.5	4.5	0.5
5	3.5	4.5	0.5
3	4.5	4.5	0.5
5	5.5	4.5	0.5
4	6.5	4.5	0.5
5	7.5	4.5	0.5
5	8.5	4.5	0.5
5	1.5	5.5	0.5
2	2.5	5.5	0.5
5	3.5	5.5	0.5
3	4.5	5.5	0.5
5	5.5	5.5	0.5
4	6.5	5.5	0.5
5	7.5	5.5	0.5
5	8.5	5.5	0.5
5	1.5	6.5	0.5
2	2.5	6.5	0.5
5	3.5	6.5	0.5
3	4.5	6.5	0.5
5	5.5	6.5	0.5
4	6.5	6.5	0.5
5	7.5	6.5	0.5
5	8.5	6.5	0.5
5	1.5	4.5	1.5
2	2.5	4.5	1.5
5	3.5	4.5	1.5
3	4.5	4.5	1.5
5	5.5	4.5	1.5
4	6.5	4.5	1.5
5	7.5	4.5	1.5
5	8.5	4.5	1.5
1	1.5	5.5	1.5
1	2.5	5.5	1.5
1	3.5	5.5	1.5
1	4.5	5.5	1.5
1	5.5	5.5	1.5
1	6.5	5.5	1.5
1	7.5	5.5	1.5
1	8.5	5.5	1.5
5	1.5	6.5	1.5
2	2.5	6.5	1.5
5	3.5	6.5	1.5
3	4.5	6.5	1.5
5	5.5	6.5	1.5
4	6.5	6.5	1.5
5	7.5	6.5	1.5
5	8.5	6.5	1.5
5	1.5	4.5	2.5
2	2.5	4.5	2.5
5	3.5	4.5	2.5
3	4.5	4.5	2.5
5	5.5	4.5	2.5
4	6.5	4.5	2.5
5	7.5	4.5	2.5
5	8.5	4.5	2.5
5	1.5	5.5	2.5
2	2.5	5.5	2.5
5	3.5	5.5	2.5
3	4.5	5.5	2.5
5	5.5	5.5	2.5
4	6.5	5.5	2.5
5	7.5	5.5	2.5
5	8.5	5.5	2.5
5	1.5	6.5	2.5
2	2.5	6.5	2.5
5	3.5	6.5	2.5
3	4.5	6.5	2.5
5	5.5	6.5	2.5
4	6.5	6.5	2.5
5	7.5	6.5	2.5
5	8.5	6.5	2.5
